DADOS TESE DIOGO - NAO MEXER!!!,,,,,,,,,,,
Coleta Cerrado - MS,,,,,,,,,,,
atualizado em 12/03/19 por bolsista,,,,,,,,,,,conferir com o caderno de campo!!! a temp do dia 13 ta errada
,,,,,,,,,,,
Ponto de coleta,Data,Espécie,N° indivíduos,CRC (mm) média!,massa%,Temp. (°C),sexo,obs,,,
,dd/mm/aaaa,,,mm,g,,M/F,,,,
Cerradinho,12/03/2019,Dendropsophus minutus,3,"12,5",0.8,24.5,M,,,,
cerradinho,12/03/2019,D. minutus,2,13.1,"0,9",24.5,m,,,,
Cerradinho ,12-mar,Dendropsophus  minutus,1, 14.2,1,"24,5",macho,escapou,,,
CERRADINHO,2019.03.12,Dendrops. minutus,5,"15,0 mm",1.1,24.5,1,,,,
Cerradão,13/03/2019,Boana albopunctata,2,35.4,4.2,23,F,,,,
Cerradao,13/03/2019,Hypsiboas albopunctatus,1,-,n/a,23,f,mesma sp da linha de cima?,,,
Cerradão,13-mar-19,Boana albopunctata,-,36.1,4.5,,fêmea,,,,
,,,,,,,,,,,
Mata de galeria,14/03/2019,Scinax fuscovarius,4,28,2.7,22.8,M,,,,
mata de galeria,14/03/2019,Scinax fuscovarius ,NA,sem dados,?,22.8,2,,,,
Mata de Galeria,2019-03-14,S. fuscovarius,3,27.5,2.6,22.8,F,,,,
Mata de galeria,14/03/2019,Scinax fuscovarius,4,28,2.7,22.8,M,,,,
,,,,,,,,,,,
Brejo,15/03/2019,Leptodactylus fuscus,6,42.3,8.9,21.5,?,chuva forte,,,
Brejo,15/3/19,Leptodactylus  fuscus,2,41.8,.,21.5,M,,,,
brejo ,15/03/2019,L. fuscus,1,"40,9",8.1,21.5,F,,,,
TOTAL,,,,,,,,,,,
